index,Event_code
295,LPP-7230832
296,ICD-P040
297,ATC-D08AG02
298,CAM-CBJD001
299,BIO-7307
300,ATC-D08AX07
301,ATC-S01AA13
302,CAM-HBBD007
303,ATC-J07BH01
304,ATC-S01AX
305,ATC-J07AH08
306,CAM-QZQM001
307,LPP-6313869
308,CAM-HPSA001
309,ICD-K409
310,LPP-6110681
311,CAM-QZJA022
312,CAM-QZMP001
313,CAM-ZZLP042
314,CAM-AHQJ021
315,ATC-N02AX02
316,LPP-6311050
317,LPP-6328405
318,LPP-6314685
319,LPP-6317666
320,LPP-6316253
321,CAM-CDQP012
322,BIO-1140
323,BIO-1145
324,BIO-1141
325,BIO-126
326,BIO-1127
327,CAM-FAFA010
328,CAM-ZZQX178
329,ICD-J353
330,CAM-FGRB004
331,CAM-FGRB003
332,CAM-ZZQX069
333,CAM-ZZQX188
334,ICD-N433
335,ATC-S02AA15
336,LPP-6363910
337,LPP-6318482
338,ATC-J01FA07
339,LPP-6122649
340,CAM-HBFD006
341,CAM-HBQK002
342,CAM-HBQK191
343,CAM-HBGD309
344,CAM-HBBD006
345,CAM-HBGD037
346,LPP-6380179
347,ATC-B05BB01
348,ATC-J05AB01
349,LPP-6364163
350,LPP-6324873
351,ICD-Q270
352,CAM-JAQM004
353,CAM-CDQP015
354,LPP-7240026
355,LPP-7212290
356,LPP-7211705
357,ATC-R06AE09
358,CAM-PBQM004
359,ICD-P211
360,ATC-D02AC
361,BIO-4221
362,ATC-N03AG01
363,ICD-Z743
364,ICD-G403
365,ATC-N03AX14
366,ATC-N03AD01
367,ATC-N05CH01
368,CAM-DZQM006
369,ATC-N05CD08
370,CAM-PCQM001
371,BIO-1420
372,BIO-521
373,BIO-1009
374,BIO-1260
375,BIO-1331
376,CAM-ZCQM004
377,CAM-KCQM001
378,BIO-1211
379,ICD-P008
380,CAM-QZRP003
381,ICD-P599
382,CAM-CDQP017
383,ICD-P291
384,LPP-6313823
385,LPP-6122626
386,ATC-J07BH02
